Movie_ID,Series_Title,Genre,Overview,Director,Stars
13,The Lord of the Rings: The Two Towers,action adventur drama,frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard,peter jackson,elijah wood ian mckellen viggo mortensen orlando bloom
14,The Matrix,action scifi,beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig,lana wachowski,lilli wachowski keanu reev laurenc fishburn carrieann moss
15,Goodfellas,biographi crime drama,stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic,martin scorses,robert niro ray liotta joe pesci lorrain bracco
16,Star Wars: Episode V - The Empire Strikes Back,action adventur fantasi,rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi,irvin kershner,mark hamil harrison ford carri fisher billi dee william
17,One Flew Over the Cuckoo's Nest,drama,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient,milo forman,jack nicholson louis fletcher michael berryman peter brocco
18,Hamilton,biographi drama histori,real life america foremost found father secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast,thoma kail,linmanuel miranda phillipa soo lesli odom jr rené elis goldsberri
19,Gisaengchung,comedi drama thriller,greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan,bong joon ho,kangho song lee sunkyun cho yeojeong choi woosik
20,Soorarai Pottru,drama,nedumaaran rajangam maara set make common man fli process take world capit intens industri enemi stand way,sudha kongara,suriya madhavan paresh rawal aparna balamurali
21,Interstellar,adventur drama scifi,team explor travel wormhol space attempt ensur human surviv,christoph nolan,matthew mcconaughey ann hathaway jessica chastain mackenzi foy
22,Cidade de Deus,crime drama,slum rio kid path diverg struggl photograph kingpin,fernando meirel,kátia lund alexandr rodrigu leandro firmino matheu nachtergael
23,Sen to Chihiro no kamikakushi,anim adventur famili,famili suburb sullen yearold girl wander world rule god witch spirit human chang beast,hayao miyazaki,daveigh chase suzann pleshett miyu irino rumi hiiragi
24,Saving Private Ryan,drama war,follow normandi land group soldier enemi line retriev paratroop brother kill action,steven spielberg,tom hank matt damon tom sizemor edward burn
25,The Green Mile,crime drama fantasi,live guard death row affect charg black man accus child murder rape mysteri gift,frank darabont,tom hank michael clark duncan david mors bonni hunt
26,La vita è bella,comedi drama romanc,openmind jewish librarian son victim holocaust use perfect mixtur humor imagin protect son danger camp,roberto benigni,roberto benigni nicoletta braschi giorgio cantarini giustino durano
27,Se7en,crime drama mysteri,detect rooki veteran hunt serial killer use seven deadli sin motiv,david fincher,morgan freeman brad pitt kevin spacey andrew kevin walker
28,The Silence of the Lambs,crime drama thriller,young fbi cadet receiv help incarcer manipul cannib killer help catch serial killer madman skin victim,jonathan demm,jodi foster anthoni hopkin lawrenc bonney kasi lemmon
29,Star Wars,action adventur fantasi,luke skywalk join forc jedi knight cocki pilot wookie droid save galaxi empir worlddestroy battl station attempt rescu princess leia mysteri darth vader,georg luca,mark hamil harrison ford carri fisher alec guin
30,Seppuku,action drama mysteri,ronin request seppuku feudal lord palac told brutal suicid ronin previous visit reveal past intertwin do challeng clan integr,masaki kobayashi,tatsuya nakadai akira ishihama shima iwashita tetsurô tanba
31,Shichinin no samurai,action adventur drama,poor villag attack bandit recruit seven unemploy samurai help defend,akira kurosawa,toshirô mifun takashi shimura keiko tsushima yukiko shimazaki
32,It's a Wonderful Life,drama famili fantasi,angel sent heaven help desper frustrat businessman show life like exist,frank capra,jame stewart donna reed lionel barrymor thoma mitchel
33,Joker,crime drama thriller,gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker,todd phillip,joaquin phoenix robert niro zazi beetz franc conroy
34,Whiplash,drama music,promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop realiz student potenti,damien chazel,mile teller jk simmon melissa benoist paul reiser
35,The Intouchables,biographi comedi drama,quadripleg paraglid accid aristocrat hire young man project caregiv,olivi nakach,éric toledano françoi cluzet omar sy ann le ny
36,The Prestige,drama mysteri scifi,tragic accid stage magician engag battl creat ultim illus sacrif outwit,christoph nolan,christian bale hugh jackman scarlett johansson michael cain
37,The Departed,crime drama thriller,undercov cop mole polic attempt identifi infiltr irish gang south boston,martin scorses,leonardo dicaprio matt damon jack nicholson mark wahlberg
38,The Pianist,biographi drama music,polish jewish musician struggl surviv destruct warsaw ghetto world war ii,roman polanski,adrien brodi thoma kretschmann frank finlay emilia fox
39,Gladiator,action adventur drama,roman gener set exact vengeanc corrupt emperor murder famili sent slaveri,ridley scott,russel crow joaquin phoenix conni nielsen oliv reed
40,American History X,drama,neonazi skinhead tri prevent younger brother go wrong path did,toni kay,edward norton edward furlong beverli dangelo jennif lien
41,The Usual Suspects,crime mysteri thriller,sole survivor tell twisti event lead horrif gun battl boat began crimin met seemingli random polic lineup,bryan singer,kevin spacey gabriel byrn chazz palminteri stephen baldwin
42,Léon,action crime drama,mathilda yearold girl reluctantli taken léon profession assassin famili murder unusu relationship form protégé learn assassin trade,luc besson,jean reno gari oldman natali portman danni aiello
43,The Lion King,anim adventur drama,lion princ simba father target bitter uncl want ascend throne,roger aller,rob minkoff matthew broderick jeremi iron jame earl jone
44,Terminator 2: Judgment Day,action scifi,cyborg ident fail kill sarah connor protect teenag son john connor advanc power cyborg,jame cameron,arnold schwarzenegg linda hamilton edward furlong robert patrick
45,Nuovo Cinema Paradiso,drama romanc,filmmak recal childhood fall love pictur cinema home villag form deep friendship cinema projectionist,giusepp tornator,philipp noiret enzo cannaval antonella attili isa dani
46,Hotaru no haka,anim drama war,young boy littl sister struggl surviv japan world war ii,isao takahata,tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara
47,Back to the Future,adventur comedi scifi,marti mcfli yearold high school student accident sent thirti year past timetravel delorean invent close friend eccentr scientist doc brown,robert zemecki,michael j fox christoph lloyd lea thompson crispin glover
48,Once Upon a Time in the West,western,mysteri stranger harmonica join forc notori desperado protect beauti widow ruthless assassin work railroad,sergio leon,henri fonda charl bronson claudia cardinal jason robard
49,Psycho,horror mysteri thriller,phoenix secretari embezzl employ client goe run check remot motel run young man domin mother,alfr hitchcock,anthoni perkin janet leigh vera mile john gavin
50,Casablanca,drama romanc war,cynic expatri american cafe owner struggl decid help lover fugit husband escap nazi french morocco,michael curtiz,humphrey bogart ingrid bergman paul henreid claud rain
51,Modern Times,comedi drama famili,tramp struggl live modern industri societi help young homeless woman,charl chaplin,charl chaplin paulett goddard henri bergman tini sandford
52,City Lights,comedi drama romanc,aid wealthi errat tippler dewyey tramp fallen love sightless flower girl accumul money abl help medic,charl chaplin,charl chaplin virginia cherril florenc lee harri myer
53,Capharnaüm,drama,serv fiveyear sentenc violent crime yearold boy sue parent neglect,nadin labaki,zain al rafeea yordano shiferaw boluwatif treasur bankol kawsar al haddad
54,Ayla: The Daughter of War,biographi drama histori,amidst ravag korean war sergeant süleyman stumbl halffrozen littl girl parent help sight frantic scare verg death summari,ulkay,erdem çetin tekindor ismail hacioglu kyungjin lee
55,Vikram Vedha,action crime drama,vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict,gayatri,pushkar madhavan vijay sethupathi shraddha srinath
56,Kimi no na wa.,anim drama fantasi,stranger link bizarr way connect form distanc thing apart,makoto shinkai,ryûnosuk kamiki mone kamishiraishi ryô narita aoi yûki
57,Dangal,action biographi drama,wrestler mahavir singh phogat wrestler daughter struggl glori commonwealth game face societ oppress,nitesh tiwari,aamir khan sakshi tanwar fatima sana shaikh sanya malhotra
58,Spider-Man: Into the Spider-Verse,anim action adventur,teen mile moral spiderman univers join spiderpow individu dimens stop threat realiti,bob persichetti,peter ramsey rodney rothman shameik moor jake johnson
59,Avengers: Endgame,action adventur drama,devast event aveng infin war univers ruin help remain alli aveng assembl order revers thano action restor balanc univers,anthoni russo,joe russo robert downey jr chri evan mark ruffalo
60,Avengers: Infinity War,action adventur scifi,aveng alli will sacrific attempt defeat power thano blitz devast ruin put end univers,anthoni russo,joe russo robert downey jr chri hemsworth mark ruffalo
61,Coco,anim adventur famili,aspir musician miguel confront famili ancestr ban music enter land dead greatgreatgrandfath legendari singer,lee unkrich,adrian molina anthoni gonzalez gael garcía bernal benjamin bratt
62,Django Unchained,drama western,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner,quentin tarantino,jami foxx christoph waltz leonardo dicaprio kerri washington
63,The Dark Knight Rises,action adventur,year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane,christoph nolan,christian bale tom hardi ann hathaway gari oldman
64,3 Idiots,comedi drama,friend search long lost companion revisit colleg day recal memori friend inspir think differ rest world call idiot,rajkumar hirani,aamir khan madhavan mona singh sharman joshi
65,Taare Zameen Par,drama famili,eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem struggl school,aamir khan,amol gupt darsheel safari aamir khan tisca chopra
66,WALL·E,anim adventur famili,distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind,andrew stanton,ben burtt elissa knight jeff garlin fred willard
67,The Lives of Others,drama mysteri thriller,east berlin agent secret polic conduct surveil writer lover find increasingli absorb live,florian henckel von donnersmarck,ulrich mühe martina gedeck sebastian koch ulrich tukur
68,Oldeuboi,action drama mysteri,kidnap imprison year oh daesu releas captor day,chanwook park,choi minsik yoo jita kang hyejeong kim byeongok
69,Memento,mysteri thriller,man shortterm memori loss attempt track wife murder,christoph nolan,guy pearc carrieann moss joe pantoliano mark boon junior
70,Mononoke-hime,anim action adventur,journey cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest meet san mononok hime,hayao miyazaki,yôji matsuda yuriko ishida yûko tanaka billi crudup
71,Once Upon a Time in America,crime drama,prohibitionera jewish gangster return lower east manhattan thirti year later confront ghost regret old life,sergio leon,robert niro jame wood elizabeth mcgovern treat william
72,Raiders of the Lost Ark,action adventur,archaeologist adventur indiana jone hire govern ark coven adolf hitler nazi obtain awesom power,steven spielberg,harrison ford karen allen paul freeman john rhysdavi
73,The Shining,drama horror,famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur,stanley kubrick,jack nicholson shelley duval danni lloyd scatman crother
74,Apocalypse Now,drama mysteri war,armi offic serv vietnam task assassin renegad special forc colonel see god,franci ford coppola,martin sheen marlon brando robert duval freder forrest
75,Alien,horror scifi,space merchant vessel receiv unknown transmiss distress crew attack mysteri life form soon realiz life cycl mere begun,ridley scott,sigourney weaver tom skerritt john hurt veronica cartwright
76,Anand,drama music,stori termin ill man wish live life fullest inevit occur told best friend,hrishikesh mukherje,rajesh khanna amitabh bachchan sumita sanyal ramesh deo
77,Tengoku to jigoku,crime drama mysteri,execut shoe compani victim extort chauffeur son kidnap held ransom,akira kurosawa,toshirô mifun yutaka sada tatsuya nakadai kyôko kagawa
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedi,insan gener trigger path nuclear holocaust war room politician gener frantic tri stop,stanley kubrick,peter seller georg c scott sterl hayden keenan wynn
79,Witness for the Prosecution,crime drama mysteri,veteran british barrist defend client murder trial surpris surpris,billi wilder,tyron power marlen dietrich charl laughton elsa lanchest
80,Paths of Glory,drama war,refus attack enemi posit gener accus soldier cowardic command offic defend,stanley kubrick,kirk dougla ralph meeker adolph menjou georg macreadi
81,Rear Window,mysteri thriller,wheelchairbound photograph spi neighbor apart window convinc commit murder,alfr hitchcock,jame stewart grace kelli wendel corey thelma ritter
82,Sunset Blvd.,drama filmnoir,screenwrit develop danger relationship fade film star determin make triumphant return,billi wilder,william holden gloria swanson erich von stroheim nanci olson
83,The Great Dictator,comedi drama war,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim,charl chaplin,charl chaplin paulett goddard jack oaki reginald gardin
84,1917,drama thriller war,april th regiment assembl wage war deep enemi territori soldier assign race time deliv messag stop men walk straight deadli trap,sam mend,deancharl chapman georg mackay daniel may colin firth
85,Tumbbad,drama fantasi horror,mytholog stori goddess creat entir univers plot revolv consequ human build templ firstborn,rahi anil barv,anand gandhi adesh prasad sohum shah jyoti malsh
86,Andhadhun,crime drama music,seri mysteri event chang life blind pianist report crime technic know,sriram raghavan,ayushmann khurrana tabu radhika apt anil dhawan
87,Drishyam,crime drama thriller,man goe extrem length save famili punish famili commit accident crime,jeethu joseph,mohanl meena asha sharath ansiba
88,Jagten,drama,teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie,thoma vinterberg,mad mikkelsen thoma bo larsen annika wedderkopp lass fogelstrøm
89,Jodaeiye Nader az Simin,drama,marri coupl face difficult decis improv life child move countri stay iran look deterior parent alzheim diseas,asghar farhadi,payman maadi leila hatami sareh bayat shahab hosseini
90,Incendies,drama mysteri war,twin journey middl east discov famili histori fulfil mother wish,deni villeneuv,lubna azab mélissa désormeauxpoulin maxim gaudett mustafa kamel
91,Miracle in cell NO.7,drama,stori love mentallyil father wrongli accus murder love year old daughter prison home base korean movi beonbangui seonmul,mehmet ada öztekin,ara bulut iynemli nisa sofiya aksongur deniz baysal celil toyon uysal
92,Babam ve Oglum,drama famili,famili leftw journalist torn apart militari coup turkey,çagan irmak,çetin tekindor fikret kuskan hümeyra ege tanman
93,Inglourious Basterds,adventur drama war,nazioccupi franc world war ii plan assassin nazi leader group jewish soldier coincid theatr owner veng plan,quentin tarantino,brad pitt dian kruger eli roth mélani laurent
94,Eternal Sunshine of the Spotless Mind,drama romanc scifi,relationship turn sour coupl undergo medic procedur eras memori,michel gondri,jim carrey kate winslet tom wilkinson gerri robert byrn
95,Amélie,comedi romanc,améli innoc naiv girl pari sens justic decid help way discov love,jeanpierr jeunet,audrey tautou mathieu kassovitz rufu lorella cravotta
96,Snatch,comedi crime,unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond,guy ritchi,jason statham brad pitt benicio del toro denni farina
97,Requiem for a Dream,drama,druginduc utopia coney island peopl shatter addict run deep,darren aronofski,ellen burstyn jare leto jennif connelli marlon wayan
98,American Beauty,drama,sexual frustrat suburban father midlif crisi infatu daughter best friend,sam mend,kevin spacey annett bene thora birch we bentley
99,Good Will Hunting,drama romanc,hunt janitor mit gift mathemat need help psychologist direct life,gu van sant,robin william matt damon ben affleck stellan skarsgård
100,Bacheha-Ye aseman,drama famili sport,boy lose sister pair shoe goe seri adventur order tri new way win new pair,majid majidi,mohammad amir naji amir farrokh hashemian bahar seddiqi nafis jafarmohammadi
101,Toy Story,anim adventur comedi,cowboy doll profoundli threaten jealou new spaceman figur supplant toy boy room,john lasset,tom hank tim allen don rickl jim varney
102,Braveheart,biographi drama histori,scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england,mel gibson,mel gibson sophi marceau patrick mcgoohan angu macfadyen
103,Reservoir Dogs,crime drama thriller,simpl jewelri heist goe horribl wrong surviv crimin begin suspect polic inform,quentin tarantino,harvey keitel tim roth michael madsen chri penn
104,Full Metal Jacket,drama war,pragmat marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue,stanley kubrick,matthew modin r lee ermey vincent donofrio adam baldwin
105,Idi i smotri,drama thriller war,find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii,elem klimov,aleksey kravchenko olga mironova liubomira lauceviciu vlada bagdona
106,Aliens,action adventur scifi,fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn listen predat,jame cameron,sigourney weaver michael biehn carri henn paul reiser
107,Amadeus,biographi drama histori,life success troubl wolfgang amadeu mozart told antonio salieri contemporan compos insan jealou mozart talent claim murder,milo forman,f murray abraham tom hulc elizabeth berridg roy dotric
108,Scarface,crime drama,miami determin cuban immigr take drug cartel succumb greed,brian palma,al pacino michel pfeiffer steven bauer mari elizabeth mastrantonio
109,Star Wars: Episode VI - Return of the Jedi,action adventur fantasi,dare mission rescu han solo jabba hutt rebel dispatch endor destroy second death star luke struggl help darth vader dark fall emperor trap,richard marquand,mark hamil harrison ford carri fisher billi dee william
110,Das Boot,adventur drama thriller,claustrophob world wwii german uboat boredom filth sheer terror,wolfgang petersen,jürgen prochnow herbert grönemey klau wennemann hubertu bengsch
111,Taxi Driver,crime drama,mental unstabl veteran work nighttim taxi driver new york citi perceiv decad sleaz fuel urg violent action attempt liber presidenti campaign worker underag prostitut,martin scorses,robert niro jodi foster cybil shepherd albert brook
112,The Sting,comedi crime drama,grifter team pull ultim,georg roy hill,paul newman robert redford robert shaw charl durn
113,A Clockwork Orange,crime drama scifi,futur sadist gang leader imprison volunt conductavers experi doesnt plan,stanley kubrick,malcolm mcdowel patrick mage michael bate warren clark
114,2001: A Space Odyssey,adventur scifi,discov mysteri artifact buri beneath lunar surfac mankind set quest origin help intellig supercomput hal,stanley kubrick,keir dullea gari lockwood william sylvest daniel richter
115,Per qualche dollaro in più,western,bounti hunter intent team track western outlaw,sergio leon,clint eastwood lee van cleef gian maria volontè mara krupp
116,Lawrence of Arabia,adventur biographi drama,stori te lawrenc english offic success unit led divers war arab tribe world war order fight turk,david lean,peter otool alec guin anthoni quinn jack hawkin
117,The Apartment,comedi drama romanc,man tri rise compani let execut use apart tryst complic romanc ensu,billi wilder,jack lemmon shirley maclain fred macmurray ray walston
118,North by Northwest,adventur mysteri thriller,new york citi advertis execut goe run mistaken govern agent group foreign spi,alfr hitchcock,cari grant eva mari saint jame mason jessi royc landi
119,Vertigo,mysteri romanc thriller,polic detect juggl wrestl person demon obsess hauntingli beauti woman,alfr hitchcock,jame stewart kim novak barbara bel gedd tom helmor
120,Singin' in the Rain,comedi music romanc,silent film product compani cast make difficult transit sound,stanley donen,gene kelli gene kelli donald oconnor debbi reynold
121,Ikiru,drama,bureaucrat tri mean life discov termin cancer,akira kurosawa,takashi shimura nobuo kaneko shinichi himori haruo tanaka
122,Ladri di biciclette,drama,postwar itali workingclass man bicycl stolen son set,vittorio sica,lamberto maggiorani enzo staiola lianella carel elena altieri
123,Double Indemnity,crime drama filmnoir,insur repres let talk seduct housewif murderinsur fraud scheme arous suspicion insur investig,billi wilder,fred macmurray barbara stanwyck edward g robinson byron barr
124,Citizen Kane,drama mysteri,follow death publish tycoon charl foster kane report scrambl uncov mean final utter rosebud,orson well,orson well joseph cotten dorothi comingor agn moorehead
125,M - Eine Stadt sucht einen Mörder,crime mysteri thriller,polic german citi unabl catch childmurder crimin join manhunt,fritz lang,peter lorr ellen widmann ing landgut otto wernick
126,Metropolis,drama scifi,futurist citi sharpli divid work class citi planner son citi mastermind fall love workingclass prophet predict come savior mediat differ,fritz lang,brigitt helm alfr abel gustav fröhlich rudolf kleinrogg
127,The Kid,comedi drama famili,tramp care abandon child event relationship jeopardi,charl chaplin,charl chaplin edna purvianc jacki coogan carl miller
128,Chhichhore,comedi drama,tragic incid forc anirudh middleag man trip memori lane reminisc colleg day friend label loser,nitesh tiwari,sushant singh rajput shraddha kapoor varun sharma prateik
129,Uri: The Surgical Strike,action drama war,indian armi special forc execut covert oper aveng kill fellow armi men base terrorist group,aditya dhar,vicki kaushal paresh rawal mohit raina yami gautam
130,K.G.F: Chapter 1,action drama,s fierc rebel rise brutal oppress symbol hope legion downtrodden peopl,prashanth neel,yash srinidhi shetti ramachandra raju archana joi
131,Green Book,biographi comedi drama,workingclass italianamerican bouncer driver africanamerican classic pianist tour venu s american south,peter farrelli,viggo mortensen mahershala ali linda cardellini sebastian maniscalco
132,"Three Billboards Outside Ebbing, Missouri",comedi crime drama,mother person challeng local author solv daughter murder fail catch culprit,martin mcdonagh,franc mcdormand woodi harrelson sam rockwel caleb landri jone
133,Talvar,crime drama mysteri,experienc investig confront conflict theori perpetr violent doubl homicid,meghna gulzar,irrfan khan konkona sen sharma neeraj kabi sohum shah
134,Baahubali 2: The Conclusion,action drama,shiva son bahubali learn heritag begin look answer stori juxtapos past event unfold mahishmati kingdom,ss rajamouli,prabha rana daggubati anushka shetti tamannaah bhatia
135,Klaus,anim adventur comedi,simpl act kind spark frozen faraway place smeerensburg new postman jesper befriend toymak klau gift melt ageold feud deliv sleigh holiday tradit,sergio pablo,carlo martínez lópez jason schwartzman jk simmon rashida jone
136,Drishyam,crime drama mysteri,desper measur taken man tri save famili dark law commit unexpect crime,nishik kamat,ajay devgn shriya saran tabu rajat kapoor
137,Queen,adventur comedi drama,delhi girl tradit famili set solo honeymoon marriag get cancel,vika bahl,kangana ranaut rajkummar rao lisa haydon jeffrey ho
138,Mandariinid,drama war,war rage abkhazia breakaway region georgia estonian man ivo decid stay harvest crop tangerin bloodi conflict door wound man left ivo take,zaza urushadz,lembit ulfsak elmo nüganen giorgi nakashidz misha meskhi
139,Bhaag Milkha Bhaag,biographi drama sport,truth ascens milkha singh scar indiapakistan partit,rakeysh omprakash mehra,farhan akhtar sonam kapoor pawan malhotra art malik
140,Gangs of Wasseypur,action comedi crime,clash sultan shahid khan lead expuls khan wasseypur ignit deadli blood feud span gener,anurag kashyap,manoj bajpaye richa chadha nawazuddin siddiqui tigmanshu dhulia
141,Udaan,drama,expel school year old boy return home abus oppress father,vikramaditya motwan,rajat barmecha ronit roy manjot singh ram kapoor
142,Paan Singh Tomar,action biographi crime,stori paan singh tomar indian athlet seventim nation steeplechas champion fear dacoit chambal valley retir,tigmanshu dhulia,irrfan khan mahi gill rajesh abhay hemendra dandotiya
143,El secreto de sus ojos,drama mysteri romanc,retir legal counselor write novel hope closur past unresolv homicid case unreciproc love superior haunt decad later,juan josé campanella,ricardo darín soledad villamil pablo rago carla quevedo
144,Warrior,action drama sport,youngest son alcohol boxer return home he train father competit mix martial art tournament path put fighter collis cours estrang older brother,gavin oconnor,tom hardi nick nolt joel edgerton jennif morrison
145,Shutter Island,mysteri thriller,marshal investig disappear murder escap hospit crimin insan,martin scorses,leonardo dicaprio emili mortim mark ruffalo ben kingsley
146,Up,anim adventur comedi,yearold carl fredricksen travel paradis fall hous equip balloon inadvert take young stowaway,pete docter,bob peterson edward asner jordan nagai john ratzenberg
147,The Wolf of Wall Street,biographi crime drama,base true stori jordan belfort rise wealthi stockbrok live high life fall involv crime corrupt feder govern,martin scorses,leonardo dicaprio jonah hill margot robbi matthew mcconaughey
148,Chak De! India,drama famili sport,kabir khan coach indian women nation hockey team dream make girl team emerg victori odd,shimit amin,shah rukh khan vidya malvad sagarika ghatg shilpa shukla
149,There Will Be Blood,drama,stori famili religion hatr oil mad focus turnofthecenturi prospector earli day busi,paul thoma anderson,daniel daylewi paul dano ciarán hind martin stringer
150,Pan's Labyrinth,drama fantasi war,falangist spain bookish young stepdaught sadist armi offic escap eeri captiv fantasi world,guillermo del toro,ivana baquero ariadna gil sergi lópez maribel verdú
151,Toy Story 3,anim adventur comedi,toy mistakenli deliv daycar center instead attic right andi leav colleg woodi convinc toy werent abandon return home,lee unkrich,tom hank tim allen joan cusack ned beatti
152,V for Vendetta,action drama scifi,futur british tyranni shadowi freedom fighter known alia v plot overthrow help young woman,jame mcteigu,hugo weav natali portman rupert grave stephen rea
153,Rang De Basanti,comedi crime drama,stori young indian assist english woman film documentari freedom fighter past event lead reliv longforgotten saga freedom,rakeysh omprakash mehra,aamir khan soha ali khan siddharth sharman joshi
154,Black,drama,cathart tale young woman hear talk teacher bring ray light dark world,sanjay leela bhansali,amitabh bachchan rani mukerji shernaz patel ayesha kapoor
155,Batman Begins,action adventur,train mentor batman begin fight free crimeridden gotham citi corrupt,christoph nolan,christian bale michael cain ken watanab liam neeson
156,"Swades: We, the People",drama,success indian scientist return indian villag nanni america process rediscov root,ashutosh gowarik,shah rukh khan gayatri joshi kishori ballal smit sheth
157,Der Untergang,biographi drama histori,traudl jung final secretari adolf hitler tell nazi dictat final day berlin bunker end wwii,oliv hirschbiegel,bruno ganz alexandra maria lara ulrich matth julian köhler
158,Hauru no ugoku shiro,anim adventur famili,unconfid young woman curs old bodi spite witch chanc break spell lie selfindulg insecur young wizard companion leg walk castl,hayao miyazaki,chieko baishô takuya kimura tatsuya gashûin akihiro miwa
159,A Beautiful Mind,biographi drama,john nash brilliant asoci mathematician accept secret work cryptographi life take turn nightmarish,ron howard,russel crow ed harri jennif connelli christoph plummer
160,Hera Pheri,action comedi crime,unemploy men look answer money problem opportun arriv know,priyadarshan,akshay kumar sunil shetti paresh rawal tabu
161,"Lock, Stock and Two Smoking Barrels",action comedi crime,botch card game london trigger friend thug weedgrow hard gangster loan shark debt collector collid seri unexpect event sake weed cash antiqu shotgun,guy ritchi,jason flemyng dexter fletcher nick moran jason statham
162,L.A. Confidential,crime drama mysteri,corrupt grow s lo angel policemen straitlac brutal sleazi investig seri murder brand justic,curti hanson,kevin spacey russel crow guy pearc kim basing
163,Eskiya,crime drama thriller,baran bandit releas prison year search vengeanc lover,yavuz turgul,sener sen ugur yücel sermin hürmeriç yesim salkim
164,Heat,crime drama thriller,group profession bank robber start feel heat polic unknowingli leav clue latest heist,michael mann,al pacino robert niro val kilmer jon voight
165,Casino,crime drama,tale greed decept money power murder occur best friend mafia enforc casino execut compet gambl empir fastliv fastlov socialit,martin scorses,robert niro sharon stone joe pesci jame wood
166,Andaz Apna Apna,action comedi romanc,slacker compet affect heiress inadvert protector evil crimin,rajkumar santoshi,aamir khan salman khan raveena tandon karisma kapoor
167,Unforgiven,drama western,retir old west gunsling william munni reluctantli take job help old partner ned logan young man schofield kid,clint eastwood,clint eastwood gene hackman morgan freeman richard harri
168,Indiana Jones and the Last Crusade,action adventur,father professor henri jone sr goe miss pursu holi grail professor henri indiana jone jr find adolf hitler nazi stop obtain power,steven spielberg,harrison ford sean conneri alison doodi denholm elliott
